,Fungus,Water,FunWat
CER_D_1,Cer,D,Cer_D
CER_D_2,Cer,D,Cer_D
CER_D_3,Cer,D,Cer_D
CER_W_1,Cer,W,Cer_W
CER_W_2,Cer,W,Cer_W
CER_W_3,Cer,W,Cer_W
COC_D_1,Coc,D,Coc_D
COC_D_2,Coc,D,Coc_D
COC_D_3,Coc,D,Coc_D
COC_W_1,Coc,W,Coc_W
COC_W_2,Coc,W,Coc_W
COC_W_3,Coc,W,Coc_W
CON_D_1,Con,D,Con_D
CON_D_2,Con,D,Con_D
CON_D_3,Con,D,Con_D
CON_W_1,Con,W,Con_W
CON_W_2,Con,W,Con_W
CON_W_3,Con,W,Con_W
NIG_D_1,Nig,D,Nig_D
NIG_D_2,Nig,D,Nig_D
NIG_D_3,Nig,D,Nig_D
NIG_W_1,Nig,W,Nig_W
NIG_W_2,Nig,W,Nig_W
NIG_W_3,Nig,W,Nig_W
PEN_D_1,Pen,D,Pen_D
PEN_D_2,Pen,D,Pen_D
PEN_D_3,Pen,D,Pen_D
PEN_W_1,Pen,W,Pen_W
PEN_W_2,Pen,W,Pen_W
PEN_W_3,Pen,W,Pen_W
SOR_D_1,Sor,D,Sor_D
SOR_D_2,Sor,D,Sor_D
SOR_D_3,Sor,D,Sor_D
SOR_W_1,Sor,W,Sor_W
SOR_W_2,Sor,W,Sor_W
SOR_W_3,Sor,W,Sor_W
