SampleID,Fungus,FunCode,PhysCode,Water,Repl,rgr,wilt,death,waterloss,totbiom,leafcol
AltD1,Alt,1,1,Drought,1,0.247,20,21,2.4366,0.411,NA
AltD2,Alt,1,1,Drought,2,0.021,20,21,2.4502,0.356,NA
AltD3,Alt,1,1,Drought,3,0,19,21,2.2477,0.451,NA
AltD4,Alt,1,1,Drought,4,0.021,21,21,2.327,NA,0.580645161
AltD5,Alt,1,1,Drought,5,0.195,20,21,2.451,NA,0.736842105
AltD6,Alt,1,1,Drought,6,0,12,15,2.33,NA,0.740740741
AltW1,Alt,1,1,WellWatered,1,0.279,21,21,4.2578,0.51,NA
AltW2,Alt,1,1,WellWatered,2,0.511,21,21,4.4373,0.462,NA
AltW3,Alt,1,1,WellWatered,3,0.553,21,21,4.2062,0.347,NA
AltW4,Alt,1,1,WellWatered,4,0.174,21,21,4.562,NA,0.94
AltW5,Alt,1,1,WellWatered,5,0.479,21,21,4.387,NA,0.770491803
AltW6,Alt,1,1,WellWatered,6,0.489,21,21,4.168,NA,0.648148148
CerD1,Cer,4,2,Drought,1,0.405,15,21,4.1074,0.421,NA
CerD2,Cer,4,2,Drought,2,0.611,13,15,4.4036,0.4,NA
CerD3,Cer,4,2,Drought,3,0.532,4,6,4.1155,0.386,NA
CerD4,Cer,4,2,Drought,4,0.363,6,9,4.113,NA,0.673076923
CerD5,Cer,4,2,Drought,5,0.437,3,6,4.072,NA,0.706896552
CerD6,Cer,4,2,Drought,6,0.584,7,9,4.197,NA,0.758064516
CerW1,Cer,4,2,WellWatered,1,0.605,21,21,4.3431,0.398,NA
CerW2,Cer,4,2,WellWatered,2,0.711,20,21,4.1709,0.445,NA
CerW3,Cer,4,2,WellWatered,3,0.716,21,21,4.3499,0.402,NA
CerW4,Cer,4,2,WellWatered,4,0.721,21,21,4.515,NA,0.68
CerW5,Cer,4,2,WellWatered,5,0.742,21,21,4.75,NA,0.660377358
CerW6,Cer,4,2,WellWatered,6,0.726,19,21,5.086,NA,0.705882353
CocD1,Coc,5,2,Drought,1,0.026,8,18,3.7565,0.446,NA
CocD2,Coc,5,2,Drought,2,0.037,6,9,3.7504,0.443,NA
CocD3,Coc,5,2,Drought,3,0,14,21,3.7576,0.5,NA
CocD4,Coc,5,2,Drought,4,0.174,6,9,3.39,NA,0.803278689
CocD5,Coc,5,2,Drought,5,0.121,2,3,3.78,NA,0.716981132
CocD6,Coc,5,2,Drought,6,0,2,6,3.383,NA,0.769230769
