gene,CerD1,CerD2,CerD3,CerW1,CerW2,CerW3,CocD1,CocD2,CocD3,CocW1,CocW2,CocW3,NigD1,NigD2,NigD3,NigW1,NigW2,NigW3,PenD1,PenD2,PenD3,PenW1,PenW2,PenW3,SorD1,SorD2,SorD3,SorW1,SorW2,SorW3
PhHAL.9G003700,-4.648672514,-4.648672514,-4.648672514,-2.748271809,-6.952475142,-6.952475142,-4.648672514,-4.648672514,-4.648672514,-6.952475142,-2.494683881,-6.952475142,-2.198556617,-4.648672514,-4.648672514,-3.358069913,-6.952475142,-1.968961606,-4.648672514,-1.780116118,-4.648672514,-3.691006007,-6.952475142,-6.952475142,-4.648672514,-4.648672514,-4.648672514,-4.227796497,-5.133068547,-6.952475142
PhHAL.5G179600,-2.498740541,-3.395018741,-2.759438265,-1.419296077,0.025336496,-1.522886583,-0.627956822,-0.882988919,-1.060568105,-0.476600233,-0.54114299,0.90683838,0.362636959,-0.554576491,-1.624455963,0.791344949,0.77482666,-0.100435921,-1.98193116,-1.573768583,-0.662489276,2.616870612,2.92263692,2.278688456,-0.981447694,-1.982262887,-3.096618268,-0.84276916,-1.229612303,-0.955741681
PhHAL.7G194500,-3.150098564,-3.813226697,-3.784474796,-1.61309228,-3.66038636,-3.66038636,2.732705048,-2.077925188,-1.384199418,-1.35082306,-0.331241231,-3.66038636,-4.107080287,-6.178558095,-2.456321609,4.848687906,4.611646163,4.839575098,-4.630476639,-4.13903363,-4.074825481,2.706355486,2.469887654,2.943905919,-0.773188542,-6.178558095,-2.25173316,1.450866182,0.899013676,1.710534649
PhHAL.6G241200,-3.344600058,-2.905374651,-3.22757602,0.506524289,-0.71803467,-0.306387155,-1.039305991,-1.36107387,-0.704327066,3.103828581,3.400607454,3.933154825,-2.075414949,-0.452713367,-4.078141185,3.994946218,3.927891744,3.905674199,-2.493278839,-1.095527094,-1.902979367,5.136128085,4.375698735,-0.71803467,-0.378121346,-1.01025283,-0.778614167,2.66625833,2.508250349,2.625265124
PhHAL.4G029400,-5.011290365,-2.992521614,-3.096367075,-0.771687454,1.25698065,-1.507849252,0.699876432,-2.794884555,-3.375378708,-2.605500497,0.749895003,1.920380451,-4.486893435,-3.750857801,-4.409657737,6.831406722,7.045829299,7.623234034,-7.168421411,-4.43820536,-3.894607166,6.401195851,6.63110692,3.529303647,-0.000250751,-7.168421411,-5.092074392,3.141218037,2.943460088,2.820717285
PhHAL.4G114500,-3.790957813,-3.804078994,-2.90998449,0.300559051,0.592385134,0.628468038,0.790485521,-4.015776543,-4.811733788,0.100665583,-0.154449574,-0.154449574,-4.474900852,-4.811733788,-4.811733788,5.219184718,5.721900378,6.154288076,-4.121781648,-3.844813892,-4.415211478,4.65208587,5.059057134,4.307347435,-1.728254886,-4.811733788,-4.621809311,0.802965843,0.567503109,1.018633074
PhHAL.3G067000,-3.017747589,-3.264690215,-3.367336298,-3.136392063,-3.211482931,-4.853172298,1.384127446,-0.966354719,-0.726392992,-2.052299311,-1.852680062,-0.75434011,-0.420128663,-2.042734854,-0.729354634,0.947303141,0.709570784,0.743276896,-2.111425611,-1.779784761,-0.479035,1.092454132,0.967101139,-4.853172298,-0.210594947,-2.346187365,-1.697677519,-0.908557445,-1.318189379,-1.588742459
PhHAL.5G022100,-3.729759054,-2.141782249,-4.616226846,-2.517814031,0.381340326,0.174173417,3.208365757,3.082334222,3.48213046,-0.283545719,5.842743388,7.394048292,-4.446438123,-3.506068117,-1.594366098,6.956725441,6.861633653,7.882777264,-4.937962965,-4.872311379,-4.325568231,4.920487139,4.850474155,6.286704239,-0.557273556,3.622032371,-1.261566643,4.027246192,3.441606071,3.701540382
PhHAL.9G428400,-3.636764785,-3.9155864,-2.022034359,-2.900183931,-4.460703253,-2.719253525,-0.808894337,-1.583668368,-2.546282521,-0.051787636,0.053090654,-0.3213893,-0.174311905,-1.848970194,-1.581962074,3.203658694,2.801748698,1.731546157,-4.486578827,-1.002014035,-0.90620126,2.351371343,2.16058674,-4.460703253,-0.47119537,-5.813202458,-3.582458382,-0.189016134,-0.40851345,-0.162110916
PhHAL.4G160100,-2.173879092,-5.252458187,-1.178989246,2.464651306,1.825757555,2.485748582,-2.76280993,-1.280675544,-1.991989851,0.630515772,1.840056575,2.430569682,-2.110113372,-0.489609777,-4.713031338,4.878319615,3.644996456,3.925960464,-5.252458187,-0.721563425,-5.252458187,5.005808955,3.438277745,-0.838948272,-0.685783048,-5.252458187,-2.729737002,3.289048112,4.639748554,4.644990008
PhHAL.3G490200,-1.677112399,-2.475843647,-1.855467692,0.03126223,-1.24768685,-0.677242661,-1.999705605,-3.290039391,-2.165920601,-0.887890677,-0.612731476,-1.025053462,-0.318961398,-0.819252347,-2.661244354,2.830607508,2.57016187,2.48966956,-2.290786298,-1.236731135,-0.820096798,2.413639511,1.619152604,2.29305473,-1.233157264,-2.974811456,-2.527368737,-0.620778135,-0.08954725,-0.293019324
PhHAL.7G194600,-2.300613218,-3.045892594,-2.896514907,-1.772980123,-0.68905024,-2.020322239,-0.103397706,-2.953117311,-4.952356089,-3.152063162,-2.439339735,-3.152063162,-3.944521924,-4.952356089,-1.751801516,4.237133636,4.038867697,4.134309775,-4.598533729,-3.081435114,-3.330550354,1.902034258,1.562512076,4.33805766,-1.725315894,-4.952356089,-3.717174354,-1.016439645,-0.709257641,-1.204636384
PhHAL.1G413800,-1.878178088,-4.114002254,-3.288814419,-0.698780975,-1.012345991,-2.398082126,-1.084040863,-2.47845736,-1.75692843,-0.197421978,-0.422034321,-0.413695761,-1.441173314,-2.615841955,-0.776953122,-0.76630576,-0.570623113,-0.351207013,-0.78307581,-1.408491288,-3.224657246,0.713771541,1.532966909,-4.587270969,-0.950795005,-1.479689756,-0.528164407,0.040119916,-0.369505158,-0.738673064
PhHAL.4G112000,-1.417163448,-2.134719669,-2.674586725,-0.580552657,-0.826030293,-0.410254804,-1.479417281,-2.243126801,-2.665354824,-2.00102391,-0.635287861,-0.29093907,-0.584470286,-0.919676678,-1.721753637,1.529594028,1.214427054,1.70760612,-3.439226034,-1.678560187,-1.487464733,2.325915401,1.852768528,-3.137533438,-0.856070428,-3.623439526,-3.029745784,-1.470512727,-0.466076565,-0.795164609
PhHAL.5G501801,-2.030859252,-4.221995599,-2.755957533,-2.213041938,-1.740572953,-4.591953579,-2.268049721,-4.861353728,-4.082429389,-1.467162572,-2.622799029,-3.436408469,-3.676700072,-5.433788428,-1.275022047,-0.920202122,-0.957676147,-0.980829618,0.060881919,-2.933616137,-2.496708206,-1.273728141,0.347593228,-1.565317034,-3.330913224,-9.274785335,-1.218863049,-3.049580868,-3.814566327,-3.712496164
PhHAL.9G083100,-1.540524218,-3.470409878,-0.603078745,-2.091957876,-2.433568493,-1.50113216,2.862246146,1.178314399,-0.059867961,-1.167412255,-1.139697715,0.513837473,0.515655133,-1.181617244,0.32535707,1.110786484,0.564264687,0.595169026,-2.258836919,-1.068528245,-1.193555933,0.482087593,1.069213544,-3.727545124,-0.726582579,-3.470409878,0.41447128,0.529533402,-0.286199758,-0.338606186
PhHAL.3G432900,-0.673751925,-0.878049121,-0.175748874,-0.141434195,0.306327538,-0.282699556,2.468172289,-0.682400075,-1.040243686,-0.245294841,0.046924662,-0.282699556,-0.97754363,-0.692863762,-0.740000449,0.193577393,-0.105012613,-0.282699556,-1.040243686,-0.923218422,-1.040243686,-0.1290265,0.137677204,-0.282699556,-0.848155595,-1.040243686,-0.753072845,2.053318123,1.162719933,1.393567853
PhHAL.4G068000,-1.692915844,-3.159523408,-1.857192545,-1.384006106,-1.597090286,-1.919759557,0.174549517,-2.270363623,-2.998135908,-1.838443543,-1.770367574,-1.41624251,-0.603348268,-1.498397028,-0.945313484,0.045744606,0.796009721,-0.18456214,-1.157908847,-0.708077692,-0.72997949,-0.038739322,0.111737031,2.235992308,-1.776021375,-2.283200306,-1.017241491,-1.184970195,-1.659671198,-0.893562269
PhHAL.6G002800,-2.704979261,-3.587683223,-1.269926438,-0.251316925,0.519578361,-0.147167102,0.59822836,-2.613470452,-3.809926421,0.319461501,0.754074239,-0.275899213,-2.462413829,-3.809926421,-3.483540943,3.70641492,3.800153472,3.995966925,-3.809926421,-3.17398448,-3.521750976,2.071849704,2.229649843,3.607571517,-2.052745255,-3.467575351,-3.327381678,2.429404282,2.223679682,2.058379989
PhHAL.4G135900,-1.479087778,-2.356389464,-2.923772989,-1.094852277,-1.086525994,-1.548460411,-3.036136006,-3.114886638,-1.771348813,-1.715507917,-1.327892848,-1.254700509,0.08424008,-0.565062925,-2.121410299,1.121775588,0.894564486,0.146149722,-2.063269135,-1.201146082,-1.382921237,1.640706586,1.686332891,-3.221134668,-1.110431345,-3.709848482,-3.362184371,-2.100245301,-1.894309729,-1.800404359
PhHAL.2G099400,-1.817157293,-3.042517262,-2.993297536,0.041335847,-1.128165331,-1.458481834,0.032286216,-0.5895721,-0.874507887,-0.297333497,-0.461018087,-0.238009264,-0.347709881,-2.736302859,-0.451950034,-0.915791565,0.042239268,-2.01690434,-1.361308907,-2.022380619,-1.631074067,-0.820286901,0.779207054,1.003833666,-0.413043789,-0.0439554,-1.723537527,-0.709604452,-1.333621058,-1.006804207
PhHAL.2G327100,-1.989176487,-2.422380701,-2.404022011,-2.754430376,-1.367962262,-3.705683811,-3.876065686,-1.140505619,-1.560207501,-1.710555588,-2.813281055,-2.626562743,-0.904143227,-8.340688215,0.37273267,-2.003494559,-1.137870343,-2.439105786,0.584720836,1.475530674,0.894691818,-4.639579681,-2.578583446,-9.290505041,-1.122352631,-8.340688215,0.069962408,-3.076963339,-3.997936767,-3.121048991
